[15-Nov-2017 18:08:27 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Warning:  session_start(): open(C:\xampp\tmp\sess_j1judmu9s0h9308h6bs7p1omg5, O_RDWR) failed: Permission denied (13) in C:\xampp\htdocs\giannerWeb\controller\SecuredController.php on line 10
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:27 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:54 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 25
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
